transaction_id,date,customer_id,product_id,quantity,price,category,region
TRX000001,2024-10-15,CUST0042,PROD001,2,899.99,Electronics,North
TRX000002,2024-10-15,CUST0156,PROD003,1,599.99,Electronics,South
TRX000003,2024-10-16,CUST0089,PROD002,3,1299.99,Computing,East
TRX000004,2024-10-16,CUST0042,PROD005,1,199.99,Audio,North
TRX000005,2024-10-17,CUST0203,PROD004,2,349.99,Mobile,West
TRX000006,2024-10-17,CUST0156,PROD001,1,899.99,Electronics,Central
TRX000007,2024-10-18,CUST0089,PROD006,4,79.99,Audio,South
TRX000008,2024-10-18,CUST0311,PROD003,1,599.99,Electronics,North
TRX000009,2024-10-19,CUST0042,PROD007,2,449.99,Computing,East
TRX000010,2024-10-19,CUST0203,PROD002,1,1299.99,Computing,West
TRX000011,2024-10-20,CUST0089,PROD008,3,299.99,Mobile,Central
TRX000012,2024-10-20,CUST0156,PROD001,1,899.99,Electronics,South
TRX000013,2024-10-21,CUST0311,PROD005,2,199.99,Audio,North
TRX000014,2024-10-21,CUST0042,PROD004,1,349.99,Mobile,East
TRX000015,2024-10-22,CUST0203,PROD003,2,599.99,Electronics,West
TRX000016,2024-10-22,CUST0089,PROD006,1,79.99,Audio,Central
TRX000017,2024-10-23,CUST0156,PROD002,1,1299.99,Computing,South
TRX000018,2024-10-23,CUST0311,PROD007,3,449.99,Computing,North
TRX000019,2024-10-24,CUST0042,PROD001,1,899.99,Electronics,East
TRX000020,2024-10-24,CUST0203,PROD008,2,299.99,Mobile,West
